customer_id,transaction_id,timestamp,amount,direction,channel,counterparty_id,counterparty_country,customer_country,currency,is_cross_border,risk_score,anomaly_score,top_features
CUST001,TXN0001,2026-01-03T10:15:00Z,122.45,out,debit_card,CP001,CA,CA,CAD,false,0.08,0.04,baseline_spend|domestic_counterparty
CUST001,TXN0002,2026-01-07T14:25:00Z,86.30,out,e_transfer,CP002,CA,CA,CAD,false,0.07,0.03,baseline_spend|known_counterparty
CUST001,TXN0003,2026-01-12T09:05:00Z,214.90,in,payroll,CP003,CA,CA,CAD,false,0.05,0.02,regular_income|known_counterparty
CUST001,TXN0004,2026-01-20T17:40:00Z,64.10,out,debit_card,CP001,CA,CA,CAD,false,0.08,0.04,baseline_spend|domestic_counterparty
CUST002,TXN0005,2026-01-04T11:00:00Z,840.00,out,wire,CP010,CA,CA,CAD,false,0.19,0.12,business_vendor|domestic_wire
CUST002,TXN0006,2026-01-06T11:30:00Z,1210.00,out,wire,CP011,CA,CA,CAD,false,0.18,0.10,business_vendor|domestic_wire
CUST002,TXN0007,2026-01-15T13:10:00Z,980.00,in,wire,CP012,CA,CA,CAD,false,0.17,0.11,invoice_receipt|domestic_wire
CUST002,TXN0008,2026-01-24T16:50:00Z,1340.00,out,bill_payment,CP013,CA,CA,CAD,false,0.21,0.13,business_expense|known_counterparty
CUST003,TXN0009,2026-01-02T09:00:00Z,75.20,out,debit_card,CP020,CA,CA,CAD,false,0.06,0.03,baseline_spend
CUST003,TXN0010,2026-01-03T09:12:00Z,82.10,out,debit_card,CP020,CA,CA,CAD,false,0.07,0.04,baseline_spend
CUST003,TXN0011,2026-01-21T08:01:00Z,720.00,out,e_transfer,CP021,CA,CA,CAD,false,0.58,0.72,velocity_spike|amount_spike
CUST003,TXN0012,2026-01-21T08:09:00Z,740.00,out,e_transfer,CP022,CA,CA,CAD,false,0.61,0.78,velocity_spike|new_counterparty
CUST003,TXN0013,2026-01-21T08:18:00Z,705.00,out,e_transfer,CP023,CA,CA,CAD,false,0.64,0.81,velocity_spike|new_counterparty
CUST003,TXN0014,2026-01-21T08:27:00Z,760.00,out,e_transfer,CP024,CA,CA,CAD,false,0.66,0.84,velocity_spike|burst_activity
CUST004,TXN0015,2026-01-05T10:20:00Z,4200.00,out,wire,CP030,CA,CA,CAD,false,0.31,0.22,business_wire
CUST004,TXN0016,2026-01-06T10:20:00Z,4300.00,out,wire,CP031,CA,CA,CAD,false,0.33,0.24,business_wire
CUST004,TXN0017,2026-01-07T10:20:00Z,4100.00,out,wire,CP032,CA,CA,CAD,false,0.34,0.27,business_wire
CUST004,TXN0018,2026-01-08T10:20:00Z,4250.00,out,wire,CP033,CA,CA,CAD,false,0.35,0.30,new_counterparty_burst
CUST004,TXN0019,2026-01-09T10:20:00Z,4180.00,out,wire,CP034,CA,CA,CAD,false,0.37,0.34,new_counterparty_burst
CUST004,TXN0020,2026-01-10T10:20:00Z,4390.00,out,wire,CP035,CA,CA,CAD,false,0.39,0.38,new_counterparty_burst
CUST005,TXN0021,2026-01-03T12:00:00Z,950.00,out,wire,CP040,US,CA,CAD,true,0.49,0.41,cross_border|us_counterparty
CUST005,TXN0022,2026-01-05T12:20:00Z,1025.00,out,wire,CP041,US,CA,CAD,true,0.53,0.46,cross_border|us_counterparty
CUST005,TXN0023,2026-01-09T13:05:00Z,1100.00,out,wire,CP042,US,CA,CAD,true,0.55,0.52,cross_border_concentration
CUST005,TXN0024,2026-01-13T14:30:00Z,980.00,out,wire,CP043,US,CA,CAD,true,0.57,0.55,cross_border_concentration
CUST005,TXN0025,2026-01-18T15:15:00Z,1150.00,out,wire,CP044,US,CA,CAD,true,0.60,0.59,cross_border_concentration
CUST006,TXN0026,2026-01-02T10:00:00Z,9000.00,out,cash,CP050,CA,CA,CAD,false,0.62,0.60,round_amount|cash_activity
CUST006,TXN0027,2026-01-04T10:00:00Z,9500.00,out,cash,CP051,CA,CA,CAD,false,0.65,0.64,round_amount|cash_activity
CUST006,TXN0028,2026-01-06T10:00:00Z,9900.00,out,cash,CP052,CA,CA,CAD,false,0.69,0.68,round_amount_structuring_style
CUST006,TXN0029,2026-01-08T10:00:00Z,9800.00,out,cash,CP053,CA,CA,CAD,false,0.71,0.72,round_amount_structuring_style
CUST006,TXN0030,2026-01-10T10:00:00Z,9700.00,out,cash,CP054,CA,CA,CAD,false,0.73,0.75,round_amount_structuring_style
CUST007,TXN0031,2026-01-05T09:10:00Z,1800.00,in,wire,CP060,CA,CA,CAD,false,0.28,0.22,invoice_receipt
CUST007,TXN0032,2026-01-07T09:10:00Z,1850.00,out,wire,CP061,CA,CA,CAD,false,0.29,0.24,vendor_payment
CUST007,TXN0033,2026-01-12T09:10:00Z,12000.00,out,wire,CP999,PA,CA,USD,true,0.77,0.91,high_reconstruction_error|cross_border
CUST007,TXN0034,2026-01-13T09:10:00Z,11800.00,out,wire,CP999,PA,CA,USD,true,0.80,0.94,high_reconstruction_error|network_concentration
CUST008,TXN0035,2026-01-03T18:30:00Z,55.00,out,debit_card,CP070,CA,CA,CAD,false,0.04,0.02,baseline_spend
CUST008,TXN0036,2026-01-17T18:30:00Z,61.00,out,debit_card,CP070,CA,CA,CAD,false,0.05,0.02,baseline_spend
CUST009,TXN0037,2026-01-03T08:40:00Z,2200.00,out,wire,CP080,CA,CA,CAD,false,0.24,0.18,business_wire
CUST009,TXN0038,2026-01-04T08:40:00Z,2300.00,out,wire,CP080,CA,CA,CAD,false,0.25,0.19,counterparty_repeat
CUST009,TXN0039,2026-01-05T08:40:00Z,2250.00,out,wire,CP080,CA,CA,CAD,false,0.27,0.22,counterparty_repeat
CUST009,TXN0040,2026-01-06T08:40:00Z,2400.00,out,wire,CP080,CA,CA,CAD,false,0.30,0.26,network_concentration
CUST009,TXN0041,2026-01-07T08:40:00Z,2350.00,out,wire,CP080,CA,CA,CAD,false,0.32,0.31,network_concentration
CUST010,TXN0042,2026-01-09T11:45:00Z,112.00,out,e_transfer,CP090,CA,CA,CAD,false,0.10,0.06,baseline_spend
CUST010,TXN0043,2026-01-21T11:45:00Z,140.00,out,e_transfer,CP091,CA,CA,CAD,false,0.11,0.07,baseline_spend
CUST011,TXN0044,2026-01-11T07:55:00Z,310.00,in,payroll,CP100,CA,CA,CAD,false,0.06,0.03,regular_income
CUST011,TXN0045,2026-01-19T07:55:00Z,93.00,out,debit_card,CP101,CA,CA,CAD,false,0.07,0.04,baseline_spend
CUST012,TXN0046,2026-01-04T10:15:00Z,3200.00,out,wire,CP110,CA,CA,CAD,false,0.23,0.17,business_wire
CUST012,TXN0047,2026-01-10T10:15:00Z,3450.00,out,wire,CP111,CA,CA,CAD,false,0.26,0.19,business_wire
CUST013,TXN0048,2026-01-08T12:10:00Z,67.00,out,debit_card,CP120,CA,CA,CAD,false,0.05,0.02,baseline_spend
CUST013,TXN0049,2026-01-23T12:10:00Z,74.00,out,debit_card,CP121,CA,CA,CAD,false,0.05,0.03,baseline_spend
CUST014,TXN0050,2026-01-07T14:00:00Z,2600.00,out,wire,CP130,GB,CA,GBP,true,0.46,0.39,cross_border
CUST014,TXN0051,2026-01-17T14:00:00Z,2750.00,out,wire,CP131,GB,CA,GBP,true,0.48,0.42,cross_border
CUST015,TXN0052,2026-01-04T15:50:00Z,121.00,out,e_transfer,CP140,CA,CA,CAD,false,0.08,0.04,baseline_spend
CUST015,TXN0053,2026-01-24T15:50:00Z,128.00,out,e_transfer,CP141,CA,CA,CAD,false,0.09,0.05,baseline_spend
CUST016,TXN0054,2026-01-02T09:25:00Z,5100.00,in,wire,CP150,CA,CA,CAD,false,0.20,0.12,invoice_receipt
CUST016,TXN0055,2026-01-18T09:25:00Z,5300.00,out,wire,CP151,CA,CA,CAD,false,0.22,0.14,business_vendor
CUST017,TXN0056,2026-01-06T19:20:00Z,88.00,out,debit_card,CP160,CA,CA,CAD,false,0.06,0.03,baseline_spend
CUST017,TXN0057,2026-01-26T19:20:00Z,91.00,out,debit_card,CP161,CA,CA,CAD,false,0.07,0.04,baseline_spend
CUST018,TXN0058,2026-01-08T10:05:00Z,3900.00,out,wire,CP170,CA,CA,CAD,false,0.25,0.18,business_wire
CUST018,TXN0059,2026-01-11T10:05:00Z,4100.00,out,wire,CP170,CA,CA,CAD,false,0.29,0.25,counterparty_repeat
CUST018,TXN0060,2026-01-14T10:05:00Z,4050.00,out,wire,CP170,CA,CA,CAD,false,0.35,0.33,network_concentration
CUST019,TXN0061,2026-01-13T13:35:00Z,99.00,out,debit_card,CP180,CA,CA,CAD,false,0.07,0.04,baseline_spend
CUST019,TXN0062,2026-01-27T13:35:00Z,105.00,out,debit_card,CP181,CA,CA,CAD,false,0.08,0.04,baseline_spend
CUST020,TXN0063,2026-01-05T16:05:00Z,6400.00,out,wire,CP190,HK,CA,USD,true,0.52,0.48,cross_border|business_wire
CUST020,TXN0064,2026-01-08T16:05:00Z,6600.00,out,wire,CP190,HK,CA,USD,true,0.57,0.55,cross_border_concentration|network_concentration
CUST020,TXN0065,2026-01-12T16:05:00Z,6700.00,out,wire,CP190,HK,CA,USD,true,0.62,0.63,cross_border_concentration|network_concentration
